Name,County
Abbeville,Henry County
Adamsville,Jefferson County
Addison,Winston County
Akron,Hale County
Alabaster,Shelby County
Albertville,Marshall County
Alexander City,Tallapoosa County
Aliceville,Pickens County
Allgood,Blount County
Altoona,Etowah County
Altoona,Blount County
Andalusia,Covington County
Anderson,Lauderdale County
Anniston,Calhoun County
Arab,Marshall County
Arab,Cullman County
Ardmore,Limestone County
Argo,St. Clair County
Argo,Jefferson County
Ariton,Dale County
Arley,Winston County
Ashford,Houston County
Ashland,Clay County
Ashville,St. Clair County
Athens,Limestone County
Atmore,Escambia County
Attalla,Etowah County
Auburn,Lee County
Autaugaville,Autauga County
Avon,Houston County
Babbie,Covington County
Baileyton,Cullman County
Bakerhill,Barbour County
Banks,Pike County
Bay Minette,Baldwin County
Bayou La Batre,Mobile County
Bear Creek,Marion County
Beatrice,Monroe County
Beaverton,Lamar County
Belk,Fayette County
Benton,Lowndes County
Berry,Fayette County
Bessemer,Jefferson County
Billingsley,Autauga County
Birmingham,Jefferson County
Birmingham,Shelby County
Black,Geneva County
Blountsville,Blount County
Blue Springs,Barbour County
Boaz,Marshall County
Boaz,Etowah County
Boligee,Greene County
Bon Air,Talladega County
Brantley,Crenshaw County
Brent,Bibb County
Brewton,Escambia County
Bridgeport,Jackson County
Brighton,Jefferson County
Brilliant,Marion County
Brookside,Jefferson County
Brookwood,Tuscaloosa County
Brundidge,Pike County
Butler,Choctaw County
Calera,Shelby County
Calera,Chilton County
Camden,Wilcox County
Camp Hill,Tallapoosa County
Carbon Hill,Walker County
Cardiff,Jefferson County
Carolina,Covington County
Carrollton,Pickens County
Castleberry,Conecuh County
Cedar Bluff,Cherokee County
Center Point,Jefferson County
Centre,Cherokee County
Centreville,Bibb County
Chatom,Washington County
Chelsea,Shelby County
Cherokee,Colbert County
Chickasaw,Mobile County
Childersburg,Talladega County
Childersburg,Shelby County
Citronelle,Mobile County
Clanton,Chilton County
Clay,Jefferson County
Clayhatchee,Dale County
Clayton,Barbour County
Cleveland,Blount County
Clio,Barbour County
Coaling,Tuscaloosa County
Coffee Springs,Geneva County
Coffeeville,Clarke County
Coker,Tuscaloosa County
Collinsville,DeKalb County
Collinsville,Cherokee County
Colony,Cullman County
Columbia,Houston County
Columbiana,Shelby County
Coosada,Elmore County
Cordova,Walker County
Cottonwood,Houston County
County Line,Blount County
County Line,Jefferson County
Courtland,Lawrence County
Cowarts,Houston County
Creola,Mobile County
Crossville,DeKalb County
Cuba,Sumter County
Cullman,Cullman County
Cusseta,Chambers County
Dadeville,Tallapoosa County
Daleville,Dale County
Daphne,Baldwin County
Dauphin Island,Mobile County
Daviston,Tallapoosa County
Dayton,Marengo County
Deatsville,Elmore County
Decatur,Morgan County
Decatur,Limestone County
Demopolis,Marengo County
Detroit,Lamar County
Dodge City,Cullman County
Dora,Walker County
Dothan,Houston County
Dothan,Dale County
Dothan,Henry County
Double Springs,Winston County
Douglas,Marshall County
Dozier,Crenshaw County
Dutton,Jackson County
East Brewton,Escambia County
Eclectic,Elmore County
Edwardsville,Cleburne County
Elba,Coffee County
Elberta,Baldwin County
Eldridge,Walker County
Elkmont,Limestone County
Elmore,Elmore County
Emelle,Sumter County
Enterprise,Coffee County
Enterprise,Dale County
Epes,Sumter County
Ethelsville,Pickens County
Eufaula,Barbour County
Eutaw,Greene County
Eva,Morgan County
Evergreen,Conecuh County
Excel,Monroe County
Fairfield,Jefferson County
Fairhope,Baldwin County
Fairview,Cullman County
Falkville,Morgan County
Faunsdale,Marengo County
Fayette,Fayette County
Five Points,Chambers County
Flomaton,Escambia County
Florala,Covington County
Florence,Lauderdale County
Foley,Baldwin County
Forkland,Greene County
Fort Deposit,Lowndes County
Fort Payne,DeKalb County
Franklin,Macon County
Frisco City,Monroe County
Fruithurst,Cleburne County
Fulton,Clarke County
Fultondale,Jefferson County
Fyffe,DeKalb County
Gadsden,Etowah County
Gainesville,Sumter County
Gantt,Covington County
Garden City,Cullman County
Garden City,Blount County
Gardendale,Jefferson County
Gaylesville,Cherokee County
Geiger,Sumter County
Geneva,Geneva County
